,zmean,zmax,zmin,area,slope,lat,icecap
RGI60-08.00001,239.03689575195312,250.12054,216.32117,0.03,"0    5.8
Name: Slope, dtype: object",67.93,0
RGI60-08.00002,248.72518920898438,261.11176,238.92146,0.03,"0    5.7
Name: Slope, dtype: object",67.87,0
RGI60-08.00003,734.4646606445312,846.03516,669.1033,0.02,"0    18.8
Name: Slope, dtype: object",67.82,0
RGI60-08.00004,702.8466186523438,799.9226,610.53674,0.02,"0    20.1
Name: Slope, dtype: object",67.83,0
RGI60-08.00005,1179.67041015625,1860.2559,682.8097,21.469,"0    8.5
Name: Slope, dtype: object",67.139,0
RGI60-08.00006,1311.3697509765625,1518.6793,1027.3058,4.886,"0    7.5
Name: Slope, dtype: object",68.083,0
RGI60-08.00007,1189.05810546875,1415.6562,1136.4359,0.137,"0    10.2
Name: Slope, dtype: object",68.104,0
RGI60-08.00008,1275.939697265625,1477.1128,1120.5123,0.531,"0    17
Name: Slope, dtype: object",68.145,0
RGI60-08.00009,1359.328125,1508.5203,1088.9276,0.734,"0    16.4
Name: Slope, dtype: object",68.118,0
RGI60-08.00010,1354.6632080078125,1490.7864,1234.7174,0.303,"0    14.2
Name: Slope, dtype: object",68.122,0
RGI60-08.00011,1471.6988525390625,1554.9066,1352.9707,0.374,"0    6.5
Name: Slope, dtype: object",68.105,0
RGI60-08.00012,1076.620849609375,1232.8314,932.1672,0.135,"0    19.7
Name: Slope, dtype: object",68.567,0
RGI60-08.00013,1104.64697265625,1312.7517,934.68463,1.048,"0    11.3
Name: Slope, dtype: object",68.545,0
RGI60-08.00014,1329.6630859375,1565.7617,1037.4388,0.563,"0    22.4
Name: Slope, dtype: object",67.775,0
RGI60-08.00015,1293.9443359375,1835.2694,908.27783,11.306,"0    7.7
Name: Slope, dtype: object",67.135,0
RGI60-08.00016,1520.5745849609375,1835.4152,1180.5197,0.906,"0    26.2
Name: Slope, dtype: object",67.154,0
RGI60-08.00017,1436.0584716796875,1719.2576,1215.812,0.808,"0    21.2
Name: Slope, dtype: object",67.187,0
RGI60-08.00018,1443.416015625,1634.9376,1214.5302,0.109,"0    31.1
Name: Slope, dtype: object",67.227,0
RGI60-08.00019,1443.5826416015625,1747.6289,1197.4884,1.069,"0    13.3
Name: Slope, dtype: object",67.365,0
RGI60-08.00020,1434.126708984375,1539.5149,1246.8682,0.133,"0    20.9
Name: Slope, dtype: object",67.217,0
RGI60-08.00021,1397.3409423828125,1761.816,1012.0558,5.591,"0    11.3
Name: Slope, dtype: object",67.41,0
RGI60-08.00022,1397.8096923828125,1715.2755,1055.102,0.44,"0    25.4
Name: Slope, dtype: object",67.362,0
RGI60-08.00023,1509.00390625,1785.6038,1243.7118,0.286,"0    24.4
Name: Slope, dtype: object",67.262,0
RGI60-08.00024,1434.343017578125,1796.2312,1068.059,2.547,"0    13.9
Name: Slope, dtype: object",67.302,0
RGI60-08.00025,1469.959716796875,1732.3083,1166.0198,0.286,"0    23.6
Name: Slope, dtype: object",67.369,0
RGI60-08.00026,1524.58154296875,1741.5413,1234.0587,0.88,"0    17.3
Name: Slope, dtype: object",67.292,0
RGI60-08.00027,1507.4461669921875,1728.2584,1213.1183,0.684,"0    19.2
Name: Slope, dtype: object",67.298,0
RGI60-08.00028,1325.5062255859375,1566.732,1184.8423,0.377,"0    13.3
Name: Slope, dtype: object",67.352,0
RGI60-08.00029,1474.3209228515625,1647.7236,1151.9058,0.425,"0    21
Name: Slope, dtype: object",67.357,0
RGI60-08.00030,1398.360595703125,1669.1484,1126.8395,0.645,"0    24.6
Name: Slope, dtype: object",67.508,0
RGI60-08.00031,1385.4232177734375,1660.2145,1078.8102,1.617,"0    10.7
Name: Slope, dtype: object",67.424,0
RGI60-08.00032,1426.3822021484375,1781.9924,1007.27783,1.811,"0    14.8
Name: Slope, dtype: object",67.393,0
RGI60-08.00033,1500.8179931640625,1796.2305,1244.9932,0.693,"0    15.9
Name: Slope, dtype: object",67.313,0
RGI60-08.00034,1271.0045166015625,1606.9777,985.214,0.742,"0    17.1
Name: Slope, dtype: object",67.392,0
RGI60-08.00035,1441.3126220703125,1609.4381,1235.9178,0.437,"0    15.6
Name: Slope, dtype: object",67.297,0
RGI60-08.00036,1545.228515625,1729.4635,1330.1194,0.288,"0    21.1
Name: Slope, dtype: object",67.315,0
RGI60-08.00037,1559.68359375,1909.3716,1298.3801,1.633,"0    12.9
Name: Slope, dtype: object",67.25,0
RGI60-08.00038,1472.072509765625,1837.3357,1171.6265,0.822,"0    19.2
Name: Slope, dtype: object",67.361,0
RGI60-08.00039,1367.03955078125,1508.9607,1238.7915,0.151,"0    25.2
Name: Slope, dtype: object",67.21,0
RGI60-08.00040,1461.3370361328125,1919.9595,1186.403,3.137,"0    12
Name: Slope, dtype: object",67.241,0
RGI60-08.00041,1530.6800537109375,1772.6973,1039.656,0.541,"0    18.7
Name: Slope, dtype: object",67.217,0
RGI60-08.00042,1517.0614013671875,1920.4164,957.00446,2.968,"0    12.4
Name: Slope, dtype: object",67.258,0
RGI60-08.00043,1574.163330078125,1802.3676,1332.454,0.564,"0    16
Name: Slope, dtype: object",67.323,0
RGI60-08.00044,1522.34033203125,1768.6122,1257.645,0.452,"0    22.5
Name: Slope, dtype: object",67.228,0
RGI60-08.00045,1399.9210205078125,1713.9215,952.5556,3.166,"0    13.8
Name: Slope, dtype: object",67.351,0
RGI60-08.00046,1398.0806884765625,1572.0392,1204.7621,0.292,"0    22.8
Name: Slope, dtype: object",67.158,0
RGI60-08.00047,1506.8985595703125,1769.9414,1387.6522,0.236,"0    20.3
Name: Slope, dtype: object",67.187,0
RGI60-08.00048,1546.4290771484375,1713.05,1341.5343,0.289,"0    24.2
Name: Slope, dtype: object",66.991,0
RGI60-08.00049,1338.454833984375,1605.5417,1171.0427,0.49,"0    13.2
Name: Slope, dtype: object",67.779,0
RGI60-08.00050,1327.8046875,1559.5789,1030.0979,0.827,"0    24.1
Name: Slope, dtype: object",67.909,0
RGI60-08.00051,1408.6212158203125,1572.8422,1261.0586,0.246,"0    16.7
Name: Slope, dtype: object",67.9,0
RGI60-08.00052,1388.9622802734375,1613.2955,1180.3911,0.289,"0    27.3
Name: Slope, dtype: object",67.785,0
RGI60-08.00053,1322.5811767578125,1580.5892,1024.2753,1.788,"0    15.3
Name: Slope, dtype: object",67.798,0
RGI60-08.00054,1507.1676025390625,1712.8522,1285.9227,0.123,"0    24.1
Name: Slope, dtype: object",67.719,0
RGI60-08.00055,1571.67822265625,1807.0845,1292.7205,0.463,"0    25
Name: Slope, dtype: object",67.577,0
RGI60-08.00056,1420.0848388671875,1711.9363,1178.7421,1.024,"0    16.7
Name: Slope, dtype: object",67.709,0
RGI60-08.00057,1601.621826171875,1990.6289,1230.5739,1.189,"0    17.3
Name: Slope, dtype: object",67.583,0
RGI60-08.00058,1486.3619384765625,1990.897,1141.0126,0.546,"0    25.4
Name: Slope, dtype: object",67.573,0
RGI60-08.00059,1468.827392578125,1572.6477,1327.0339,0.319,"0    17.1
Name: Slope, dtype: object",67.722,0
RGI60-08.00060,1386.2364501953125,1585.9248,1194.4896,0.359,"0    13.1
Name: Slope, dtype: object",67.716,0
RGI60-08.00061,1601.0472412109375,1990.1835,1217.3008,0.765,"0    21.7
Name: Slope, dtype: object",67.581,0
RGI60-08.00062,1443.7698974609375,1668.3024,1200.5565,0.228,"0    23.5
Name: Slope, dtype: object",67.703,0
RGI60-08.00063,1475.6064453125,1806.9469,1152.1447,0.479,"0    26.3
Name: Slope, dtype: object",67.569,0
RGI60-08.00064,1484.5849609375,1711.2699,1310.5376,0.283,"0    16
Name: Slope, dtype: object",67.686,0
RGI60-08.00065,1434.4580078125,1601.0503,1281.2124,0.131,"0    19.4
Name: Slope, dtype: object",67.683,0
RGI60-08.00066,1411.0096435546875,1657.0824,1211.2465,0.46,"0    20.9
Name: Slope, dtype: object",67.686,0
RGI60-08.00067,1628.7716064453125,1733.0371,1390.114,0.243,"0    17.1
Name: Slope, dtype: object",67.686,0
RGI60-08.00068,1500.6409912109375,1773.6582,1093.5668,0.629,"0    25.3
Name: Slope, dtype: object",67.576,0
RGI60-08.00069,1616.1964111328125,1778.3182,1489.089,0.136,"0    16.9
Name: Slope, dtype: object",67.592,0
RGI60-08.00070,1501.129638671875,1937.114,1113.5979,0.584,"0    26.7
Name: Slope, dtype: object",67.572,0
RGI60-08.00071,1528.6202392578125,1761.4185,1217.1487,0.312,"0    23.2
Name: Slope, dtype: object",67.722,0
RGI60-08.00072,1463.0872802734375,1804.4768,1063.3772,2.421,"0    14.6
Name: Slope, dtype: object",67.577,0
RGI60-08.00073,1681.0,1885.474,1548.4639,0.271,"0    14.5
Name: Slope, dtype: object",67.588,0
RGI60-08.00074,1454.9736328125,1663.868,1185.3268,0.532,"0    22.4
Name: Slope, dtype: object",67.695,0
RGI60-08.00075,1533.3372802734375,1809.2999,1164.5876,2.062,"0    14.3
Name: Slope, dtype: object",67.715,0
RGI60-08.00076,1506.2987060546875,1648.8989,1349.8022,0.191,"0    21.6
Name: Slope, dtype: object",67.301,0
RGI60-08.00077,1747.220703125,1972.5526,1452.3336,0.256,"0    24.7
Name: Slope, dtype: object",67.327,0
RGI60-08.00078,1483.0877685546875,1623.24,1267.0789,0.285,"0    18.3
Name: Slope, dtype: object",67.4,0
RGI60-08.00079,1542.3642578125,1795.5945,1134.8859,0.324,"0    20.4
Name: Slope, dtype: object",67.285,0
RGI60-08.00080,1448.18359375,1868.3528,982.11017,0.97,"0    22.7
Name: Slope, dtype: object",67.35,0
RGI60-08.00081,1439.76171875,1943.589,1130.8698,1.069,"0    14.6
Name: Slope, dtype: object",67.226,0
RGI60-08.00082,1753.742919921875,1888.4089,1515.8326,0.091,"0    27.1
Name: Slope, dtype: object",67.209,0
RGI60-08.00083,1443.89990234375,1820.6553,1145.5104,0.82,"0    18.1
Name: Slope, dtype: object",67.295,0
RGI60-08.00084,1467.3868408203125,1690.8741,1294.5869,0.239,"0    22.3
Name: Slope, dtype: object",67.429,0
RGI60-08.00085,1571.41357421875,1964.8246,1071.3021,3.193,"0    12.5
Name: Slope, dtype: object",67.402,0
RGI60-08.00086,1285.6221923828125,1468.9907,1144.7938,0.228,"0    20.8
Name: Slope, dtype: object",67.454,0
RGI60-08.00087,1536.677978515625,1943.5284,918.2187,1.659,"0    20.3
Name: Slope, dtype: object",67.385,0
RGI60-08.00088,1453.2696533203125,1740.6409,1156.2954,0.488,"0    28.8
Name: Slope, dtype: object",67.277,0
RGI60-08.00089,1459.3353271484375,1803.4148,1203.8716,0.245,"0    22.2
Name: Slope, dtype: object",67.445,0
RGI60-08.00090,1390.0731201171875,1940.6543,934.11475,9.389,"0    7.5
Name: Slope, dtype: object",67.304,0
RGI60-08.00091,1505.032958984375,1713.6224,1292.2073,0.238,"0    22.4
Name: Slope, dtype: object",67.299,0
RGI60-08.00092,1441.12744140625,1543.8165,1298.8655,0.373,"0    16.3
Name: Slope, dtype: object",67.321,0
RGI60-08.00093,1487.960205078125,1891.8412,1177.3003,0.6,"0    17.1
Name: Slope, dtype: object",67.222,0
RGI60-08.00094,1513.95263671875,1759.7428,1192.8022,0.403,"0    15.8
Name: Slope, dtype: object",67.333,0
RGI60-08.00095,1541.2554931640625,1875.1719,1089.9609,4.594,"0    11.1
Name: Slope, dtype: object",67.449,0
RGI60-08.00096,1431.134765625,1654.4153,992.22656,1.185,"0    14.2
Name: Slope, dtype: object",67.345,0
RGI60-08.00097,1353.536376953125,1829.3885,874.4893,0.903,"0    19.9
Name: Slope, dtype: object",67.448,0
RGI60-08.00098,1530.7191162109375,1648.9407,1432.593,0.152,"0    8.5
Name: Slope, dtype: object",67.4,0
RGI60-08.00099,1635.94921875,1906.9395,1307.3092,0.815,"0    22.4
Name: Slope, dtype: object",67.46,0
RGI60-08.00100,1482.10888671875,1736.1572,1232.7227,0.202,"0    17.1
Name: Slope, dtype: object",67.335,0
RGI60-08.00101,1373.1741943359375,1632.9066,1026.2631,0.224,"0    26.8
Name: Slope, dtype: object",67.253,0
RGI60-08.00102,1637.19677734375,1906.1718,1362.9553,1.4,"0    16.1
Name: Slope, dtype: object",67.454,0
RGI60-08.00103,1486.8243408203125,1906.6675,890.8799,7.206,"0    11.2
Name: Slope, dtype: object",67.471,0
RGI60-08.00104,1557.2987060546875,1799.7155,1269.3214,0.129,"0    29
Name: Slope, dtype: object",67.331,0
RGI60-08.00105,1461.90087890625,1923.3518,1150.001,2.56,"0    13.4
Name: Slope, dtype: object",67.392,0
RGI60-08.00106,1505.6253662109375,1796.6967,1244.5837,0.512,"0    26.9
Name: Slope, dtype: object",67.403,0
RGI60-08.00107,1459.0965576171875,1834.7194,983.7703,1.476,"0    13.4
Name: Slope, dtype: object",67.476,0
RGI60-08.00108,1515.465087890625,1704.269,1412.0555,0.405,"0    11.5
Name: Slope, dtype: object",67.322,0
RGI60-08.00109,1583.627685546875,2043.4569,1281.8827,3.731,"0    11.6
Name: Slope, dtype: object",67.44,0
RGI60-08.00110,1623.8707275390625,1831.861,1331.9923,0.154,"0    26.5
Name: Slope, dtype: object",67.292,0
RGI60-08.00111,1644.58447265625,1776.4188,1445.9949,0.054,"0    32.5
Name: Slope, dtype: object",67.396,0
RGI60-08.00112,1574.5540771484375,1797.0317,1260.2511,0.629,"0    15.1
Name: Slope, dtype: object",67.396,0
RGI60-08.00113,1662.185546875,1832.2684,1384.4395,0.195,"0    29.2
Name: Slope, dtype: object",67.31,0
RGI60-08.00114,1459.3848876953125,1853.4409,1115.4413,0.352,"0    36.4
Name: Slope, dtype: object",67.485,0
RGI60-08.00115,1547.67529296875,1740.9109,1253.6753,0.577,"0    19.6
Name: Slope, dtype: object",67.421,0
RGI60-08.00116,1626.1612548828125,1944.1288,1392.9644,0.33,"0    25.9
Name: Slope, dtype: object",67.216,0
RGI60-08.00117,1424.275390625,1790.6886,1098.0681,0.184,"0    36.4
Name: Slope, dtype: object",67.245,0
RGI60-08.00118,1538.068603515625,1868.1707,1298.6797,0.787,"0    15.2
Name: Slope, dtype: object",67.344,0
RGI60-08.00119,1586.228271484375,1764.2975,1300.5273,0.346,"0    13.4
Name: Slope, dtype: object",67.228,0
RGI60-08.00120,1536.8592529296875,1681.569,1343.3165,0.325,"0    19.7
Name: Slope, dtype: object",67.369,0
RGI60-08.00121,1484.124267578125,2040.8448,935.47473,6.731,"0    12.7
Name: Slope, dtype: object",67.415,0
RGI60-08.00122,1519.653564453125,1972.1377,1100.3898,2.841,"0    16.5
Name: Slope, dtype: object",67.316,0
RGI60-08.00123,1578.7783203125,1854.5544,1387.9658,0.154,"0    29.1
Name: Slope, dtype: object",67.452,0
RGI60-08.00124,1359.3245849609375,1634.2952,1178.4321,0.25,"0    25.3
Name: Slope, dtype: object",67.382,0
RGI60-08.00125,1544.504150390625,1761.5298,1256.657,0.528,"0    21.9
Name: Slope, dtype: object",67.406,0
RGI60-08.00126,1480.5028076171875,1932.6239,996.37866,3.294,"0    16.4
Name: Slope, dtype: object",67.301,0
RGI60-08.00127,1472.4527587890625,1787.8901,1209.4702,0.85,"0    13.9
Name: Slope, dtype: object",67.277,0
RGI60-08.00128,1478.48046875,1810.851,1143.956,1.797,"0    14
Name: Slope, dtype: object",67.344,0
RGI60-08.00129,1382.647216796875,1645.506,1182.1544,0.261,"0    19.6
Name: Slope, dtype: object",67.39,0
RGI60-08.00130,1431.6939697265625,1733.9692,1213.9963,0.143,"0    32.5
Name: Slope, dtype: object",67.351,0
RGI60-08.00131,1493.902099609375,1799.5756,1192.2837,0.513,"0    27.1
Name: Slope, dtype: object",67.488,0
RGI60-08.00132,1589.0635986328125,2004.478,1071.624,4.628,"0    13.9
Name: Slope, dtype: object",67.412,0
RGI60-08.00133,1678.8165283203125,2024.6238,1510.6824,0.318,"0    31.1
Name: Slope, dtype: object",67.441,0
RGI60-08.00134,1458.5645751953125,1823.457,1075.0802,2.517,"0    15.4
Name: Slope, dtype: object",67.292,0
RGI60-08.00135,1706.3341064453125,1945.2114,1539.1609,0.272,"0    19.3
Name: Slope, dtype: object",67.392,0
RGI60-08.00136,1657.1817626953125,2043.5463,1217.3799,2.579,"0    16.1
Name: Slope, dtype: object",67.429,0
RGI60-08.00137,1434.2449951171875,1866.6614,1065.2635,5.525,"0    8.6
Name: Slope, dtype: object",67.333,0
RGI60-08.00138,1824.9683837890625,1972.5801,1640.6774,0.118,"0    24.7
Name: Slope, dtype: object",67.323,0
RGI60-08.00139,1493.0711669921875,1854.0128,1256.6606,0.4,"0    22
Name: Slope, dtype: object",67.176,0
RGI60-08.00140,1643.1385498046875,1878.3993,1403.9109,0.176,"0    29.5
Name: Slope, dtype: object",67.202,0
RGI60-08.00141,1633.01416015625,1900.0197,1352.0397,0.547,"0    23.5
Name: Slope, dtype: object",67.199,0
RGI60-08.00142,1494.184326171875,1770.6111,1225.5586,0.349,"0    25.4
Name: Slope, dtype: object",67.187,0
RGI60-08.00143,1589.5,1795.0396,1437.9594,0.202,"0    22.4
Name: Slope, dtype: object",67.171,0
RGI60-08.00144,1539.0797119140625,1805.5641,1395.2506,0.208,"0    21.4
Name: Slope, dtype: object",67.193,0
RGI60-08.00145,1638.2388916015625,1916.551,1379.2051,0.138,"0    29.5
Name: Slope, dtype: object",67.203,0
RGI60-08.00146,1483.313232421875,1992.6937,1079.1204,10.223,"0    11.1
Name: Slope, dtype: object",67.172,0
RGI60-08.00147,1533.132080078125,1989.6683,1247.0314,2.261,"0    13.5
Name: Slope, dtype: object",67.186,0
RGI60-08.00148,1422.8778076171875,1714.1287,1214.7406,0.234,"0    22.8
Name: Slope, dtype: object",67.156,0
RGI60-08.00149,1596.909912109375,1797.1595,1374.724,0.097,"0    32.8
Name: Slope, dtype: object",67.174,0
RGI60-08.00150,1403.8590087890625,1574.5469,1245.8569,0.063,"0    34.5
Name: Slope, dtype: object",67.293,0
RGI60-08.00151,1607.4493408203125,1765.8878,1454.4722,0.162,"0    18.4
Name: Slope, dtype: object",67.277,0
RGI60-08.00152,1497.0400390625,1680.2241,1303.2183,0.205,"0    24.6
Name: Slope, dtype: object",67.277,0
RGI60-08.00153,1585.1025390625,1909.127,1253.8629,0.6,"0    21.1
Name: Slope, dtype: object",67.325,0
RGI60-08.00154,1530.0330810546875,1915.1013,1115.455,3.184,"0    18.8
Name: Slope, dtype: object",67.335,0
RGI60-08.00155,1577.53515625,1796.8878,1374.6357,0.658,"0    15.7
Name: Slope, dtype: object",67.279,0
RGI60-08.00156,1539.1976318359375,1852.5466,1138.9602,2.387,"0    16.5
Name: Slope, dtype: object",67.346,0
RGI60-08.00157,1422.46142578125,1796.9281,976.20636,1.805,"0    15.3
Name: Slope, dtype: object",67.278,0
RGI60-08.00158,1494.7315673828125,1848.8643,1097.0002,0.672,"0    23.6
Name: Slope, dtype: object",67.32,0
RGI60-08.00159,1451.077880859375,1735.0039,1187.6667,0.486,"0    26.8
Name: Slope, dtype: object",67.279,0
RGI60-08.00160,1660.26123046875,1857.741,1508.8141,0.155,"0    23.2
Name: Slope, dtype: object",67.338,0
RGI60-08.00161,1463.4642333984375,1796.7432,1102.0488,1.519,"0    16
Name: Slope, dtype: object",67.291,0
RGI60-08.00162,1483.3221435546875,1702.2692,1305.5737,0.894,"0    12.8
Name: Slope, dtype: object",67.447,0
RGI60-08.00163,1632.2286376953125,1910.7059,1315.1732,0.616,"0    18.8
Name: Slope, dtype: object",67.33,0
RGI60-08.00164,1462.6300048828125,1652.28,1321.077,0.433,"0    14.8
Name: Slope, dtype: object",67.775,0
RGI60-08.00165,1564.7945556640625,1689.939,1406.6578,0.176,"0    16.5
Name: Slope, dtype: object",67.839,0
RGI60-08.00166,1454.35791015625,1704.7112,1343.8811,0.142,"0    17.1
Name: Slope, dtype: object",67.836,0
RGI60-08.00167,1418.843017578125,1592.4729,1288.5305,0.125,"0    20.4
Name: Slope, dtype: object",67.682,0
RGI60-08.00168,1340.0869140625,1468.7906,1098.4342,0.19,"0    17.1
Name: Slope, dtype: object",67.686,0
RGI60-08.00169,1429.0103759765625,1704.9094,1093.4125,0.354,"0    20
Name: Slope, dtype: object",67.863,0
RGI60-08.00170,1327.3966064453125,1653.1738,1194.5763,0.544,"0    16.9
Name: Slope, dtype: object",67.616,0
RGI60-08.00171,1386.2298583984375,1588.203,1042.9559,0.413,"0    21.6
Name: Slope, dtype: object",67.887,0
RGI60-08.00172,1406.92626953125,1490.2218,1257.6494,0.22,"0    9.800000000000001
Name: Slope, dtype: object",67.585,0
RGI60-08.00173,1426.6611328125,1611.7517,1079.2911,0.767,"0    15.6
Name: Slope, dtype: object",67.542,0
RGI60-08.00174,1347.5550537109375,1500.6609,1209.2832,0.235,"0    23.8
Name: Slope, dtype: object",67.542,0
RGI60-08.00175,1488.4217529296875,1631.6215,1313.2487,2.155,"0    7.7
Name: Slope, dtype: object",67.574,0
RGI60-08.00176,1501.9305419921875,1631.5391,1336.9218,0.425,"0    14.2
Name: Slope, dtype: object",67.565,0
RGI60-08.00177,1469.977294921875,1581.353,1329.6685,0.141,"0    25.9
Name: Slope, dtype: object",67.557,0
RGI60-08.00178,1408.037841796875,1671.5724,1348.286,0.078,"0    16
Name: Slope, dtype: object",68.054,0
RGI60-08.00179,1634.395751953125,1888.0801,1303.3992,0.109,"0    32.1
Name: Slope, dtype: object",67.935,0
RGI60-08.00180,1694.6944580078125,1860.3394,1552.2626,0.167,"0    16.7
Name: Slope, dtype: object",68.114,0
RGI60-08.00181,1458.283935546875,1835.6375,1341.9115,0.263,"0    20.1
Name: Slope, dtype: object",67.994,0
RGI60-08.00182,1472.7432861328125,1662.299,1237.9752,0.169,"0    23.3
Name: Slope, dtype: object",68.111,0
RGI60-08.00183,1536.7379150390625,1977.1741,1224.5309,1.346,"0    10
Name: Slope, dtype: object",68.052,0
RGI60-08.00184,1441.719482421875,1702.013,1277.1447,0.507,"0    13.2
Name: Slope, dtype: object",68.22,0
RGI60-08.00185,1521.9276123046875,1814.8843,1215.8447,0.408,"0    23
Name: Slope, dtype: object",68.037,0
RGI60-08.00186,1584.0145263671875,1763.785,1471.6342,0.332,"0    11.2
Name: Slope, dtype: object",68.041,0
RGI60-08.00187,1516.4288330078125,1725.9677,1411.3843,0.075,"0    18.4
Name: Slope, dtype: object",67.94,0
RGI60-08.00188,1537.1270751953125,2078.4878,1074.9138,3.696,"0    15.9
Name: Slope, dtype: object",67.91,0
RGI60-08.00189,1494.9288330078125,1714.2024,1342.3629,0.28,"0    20.6
Name: Slope, dtype: object",68.042,0
RGI60-08.00190,1426.760009765625,1665.0066,1221.1033,0.313,"0    15.6
Name: Slope, dtype: object",68.216,0
RGI60-08.00191,1505.39501953125,1878.7552,1283.7867,1.853,"0    11.2
Name: Slope, dtype: object",68.101,0
RGI60-08.00192,1490.1214599609375,1730.6749,1311.6881,0.582,"0    18.3
Name: Slope, dtype: object",68.065,0
RGI60-08.00193,1494.33203125,1779.7959,1334.3198,0.16,"0    19.1
Name: Slope, dtype: object",68.038,0
RGI60-08.00194,1570.1988525390625,1907.6593,1208.765,0.555,"0    20.8
Name: Slope, dtype: object",67.947,0
RGI60-08.00195,1461.34423828125,1817.3859,1040.6376,1.071,"0    16.4
Name: Slope, dtype: object",67.972,0
RGI60-08.00196,1498.6253662109375,1821.6841,1256.3615,1.031,"0    19.1
Name: Slope, dtype: object",67.987,0
RGI60-08.00197,1430.483642578125,1825.1838,1137.8359,0.649,"0    19.8
Name: Slope, dtype: object",67.971,0
RGI60-08.00198,1436.2838134765625,1610.1927,1116.658,0.172,"0    25.3
Name: Slope, dtype: object",68.205,0
RGI60-08.00199,1560.7664794921875,1935.8884,1201.2803,3.689,"0    9.300000000000001
Name: Slope, dtype: object",68.081,0
RGI60-08.00200,1581.1190185546875,1697.0536,1413.0149,0.057,"0    22.2
Name: Slope, dtype: object",68.257,0
RGI60-08.00201,1477.6934814453125,1737.073,1287.219,0.285,"0    12.2
Name: Slope, dtype: object",68.212,0
RGI60-08.00202,1425.431884765625,1897.2104,1159.9506,0.731,"0    21.3
Name: Slope, dtype: object",67.924,0
RGI60-08.00203,1456.224365234375,1743.952,1218.9613,0.444,"0    19.9
Name: Slope, dtype: object",67.964,0
RGI60-08.00204,1514.2103271484375,1720.64,1373.5564,0.156,"0    25.9
Name: Slope, dtype: object",68.192,0
RGI60-08.00205,1285.52490234375,1501.0007,1102.2924,0.126,"0    21
Name: Slope, dtype: object",67.975,0
RGI60-08.00206,1482.2362060546875,1770.8308,1274.5371,0.354,"0    25
Name: Slope, dtype: object",67.97,0
RGI60-08.00207,1484.8651123046875,1706.717,1333.3918,0.295,"0    18.1
Name: Slope, dtype: object",68.214,0
RGI60-08.00208,1475.07958984375,1783.8138,1209.3707,1.497,"0    15.3
Name: Slope, dtype: object",67.976,0
RGI60-08.00209,1364.86572265625,1839.8231,982.70917,1.701,"0    13.7
Name: Slope, dtype: object",67.933,0
RGI60-08.00210,1539.3323974609375,1890.5557,1335.0085,1.283,"0    16.7
Name: Slope, dtype: object",67.934,0
RGI60-08.00211,1644.015869140625,1957.035,1114.1991,0.806,"0    25.3
Name: Slope, dtype: object",68.045,0
RGI60-08.00212,1624.234375,1967.9298,1127.9359,0.693,"0    19.8
Name: Slope, dtype: object",68.039,0
RGI60-08.00213,1451.0069580078125,2073.636,1066.2115,3.405,"0    13.2
Name: Slope, dtype: object",67.903,0
RGI60-08.00214,1530.9371337890625,1857.9594,1215.0747,1.428,"0    15.4
Name: Slope, dtype: object",68.049,0
RGI60-08.00215,1527.270751953125,1859.8524,1248.2445,1.799,"0    11.1
Name: Slope, dtype: object",67.969,0
RGI60-08.00216,1363.7115478515625,1627.3923,1232.3591,0.331,"0    13.8
Name: Slope, dtype: object",68.228,0
RGI60-08.00217,1391.30029296875,1807.438,1079.6683,0.914,"0    13.3
Name: Slope, dtype: object",68.019,0
RGI60-08.00218,1397.4583740234375,1677.4897,1119.1111,0.539,"0    17.9
Name: Slope, dtype: object",68.019,0
RGI60-08.00219,1554.3876953125,1860.1267,1317.3967,0.672,"0    17.6
Name: Slope, dtype: object",68.119,0
RGI60-08.00220,1542.5133056640625,1858.8555,1317.3031,1.325,"0    15.3
Name: Slope, dtype: object",68.048,0
RGI60-08.00221,1507.218017578125,1962.8851,1221.7529,0.451,"0    19.6
Name: Slope, dtype: object",67.924,0
RGI60-08.00222,1480.33349609375,1665.8959,1270.5566,0.197,"0    21.8
Name: Slope, dtype: object",68.197,0
RGI60-08.00223,1563.08544921875,1957.1248,996.2113,0.924,"0    19.5
Name: Slope, dtype: object",68.05,0
RGI60-08.00224,1501.34912109375,1792.121,1005.3517,0.158,"0    35.1
Name: Slope, dtype: object",68.05,0
RGI60-08.00225,1398.532470703125,1688.7689,1194.2323,0.217,"0    20.8
Name: Slope, dtype: object",67.937,0
RGI60-08.00226,1367.5775146484375,1742.5405,1073.2767,1.09,"0    14.4
Name: Slope, dtype: object",67.945,0
RGI60-08.00227,1610.07470703125,2078.385,1204.417,1.545,"0    11.5
Name: Slope, dtype: object",67.896,0
RGI60-08.00228,1464.0286865234375,1674.1348,1280.8918,0.167,"0    13.2
Name: Slope, dtype: object",68.202,0
RGI60-08.00229,1455.01220703125,1715.8961,1279.9868,0.689,"0    11
Name: Slope, dtype: object",68.208,0
RGI60-08.00230,1634.523681640625,1864.2184,1421.6605,0.168,"0    22.6
Name: Slope, dtype: object",67.944,0
RGI60-08.00231,1463.16455078125,1773.6705,1155.7981,0.426,"0    20.7
Name: Slope, dtype: object",67.96,0
RGI60-08.00232,1549.8504638671875,1643.899,1422.9888,0.144,"0    19.2
Name: Slope, dtype: object",68.207,0
RGI60-08.00233,1423.694091796875,2000.197,1089.7313,1.55,"0    22.5
Name: Slope, dtype: object",67.946,0
